Time,DistrictCode,TypeCode,Popularity
2017-11-24-12,1,1,22
2017-11-24-13,1,1,13
2017-11-24-14,1,1,7
2017-11-24-15,1,1,6
2017-11-24-16,1,1,6
2017-11-24-17,1,1,4
2017-11-24-18,1,1,11
2017-11-24-19,1,1,14
2017-11-24-20,1,1,16
2017-11-24-21,1,1,19
2017-11-24-22,1,1,21
2017-11-24-23,1,1,20
2017-11-25-00,1,1,24
2017-11-25-01,1,1,19
2017-11-25-02,1,1,21
2017-11-25-03,1,1,18
2017-11-25-04,1,1,20
2017-11-25-05,1,1,19
2017-11-25-06,1,1,23
2017-11-25-07,1,1,17
2017-11-25-08,1,1,16
2017-11-25-09,1,1,17
2017-11-25-10,1,1,19
2017-11-25-11,1,1,18
2017-11-25-12,1,1,15
2017-11-25-13,1,1,22
2017-11-25-14,1,1,11
2017-11-25-15,1,1,7
2017-11-25-16,1,1,3
2017-11-25-17,1,1,6
2017-11-25-18,1,1,9
2017-11-25-19,1,1,18
2017-11-25-20,1,1,19
2017-11-25-21,1,1,24
2017-11-25-22,1,1,31
2017-11-25-23,1,1,26
2017-11-26-00,1,1,27
2017-11-26-01,1,1,25
2017-11-26-02,1,1,21
2017-11-26-03,1,1,21
2017-11-26-04,1,1,20
2017-11-26-05,1,1,29
2017-11-26-06,1,1,23
2017-11-26-07,1,1,23
2017-11-26-08,1,1,20
2017-11-26-09,1,1,24
2017-11-26-10,1,1,20
2017-11-26-11,1,1,21
2017-11-26-12,1,1,19
2017-11-26-13,1,1,14
2017-11-26-14,1,1,8
2017-11-26-15,1,1,17
2017-11-26-16,1,1,5
2017-11-26-17,1,1,3
2017-11-26-18,1,1,7
2017-11-26-19,1,1,10
2017-11-26-20,1,1,18
2017-11-26-21,1,1,31
2017-11-26-22,1,1,21
2017-11-26-23,1,1,28
2017-11-27-00,1,1,24
2017-11-27-01,1,1,20
2017-11-27-02,1,1,17
2017-11-27-03,1,1,17
2017-11-27-04,1,1,24
2017-11-27-05,1,1,15
2017-11-27-06,1,1,18
2017-11-27-07,1,1,24
2017-11-27-08,1,1,27
2017-11-27-09,1,1,20
2017-11-27-10,1,1,27
2017-11-27-11,1,1,20
2017-11-27-12,1,1,27
2017-11-27-13,1,1,9
2017-11-27-14,1,1,13
2017-11-27-15,1,1,5
2017-11-27-16,1,1,4
2017-11-27-17,1,1,15
2017-11-27-18,1,1,19
2017-11-27-19,1,1,42
2017-11-27-20,1,1,41
2017-11-27-21,1,1,30
2017-11-27-22,1,1,19
2017-11-27-23,1,1,16
2017-11-28-00,1,1,14
2017-11-28-01,1,1,15
2017-11-28-02,1,1,14
2017-11-28-03,1,1,12
2017-11-28-04,1,1,16
2017-11-28-05,1,1,19
2017-11-28-06,1,1,19
2017-11-28-07,1,1,19
2017-11-28-08,1,1,14
2017-11-28-09,1,1,17
2017-11-28-10,1,1,20
2017-11-28-11,1,1,18
2017-11-28-12,1,1,18
2017-11-28-13,1,1,11
2017-11-28-14,1,1,4
2017-11-28-15,1,1,6
2017-11-28-16,1,1,5
2017-11-28-17,1,1,9
2017-11-28-18,1,1,16
2017-11-28-19,1,1,38
2017-11-28-20,1,1,37
2017-11-28-21,1,1,23
2017-11-28-22,1,1,15
2017-11-28-23,1,1,22
2017-11-29-00,1,1,17
2017-11-29-01,1,1,15
2017-11-29-02,1,1,15
2017-11-29-03,1,1,18
2017-11-29-04,1,1,16
2017-11-29-05,1,1,19
2017-11-29-06,1,1,18
2017-11-29-07,1,1,15
2017-11-29-08,1,1,21
2017-11-29-09,1,1,21
2017-11-29-10,1,1,20
2017-11-29-11,1,1,28
2017-11-29-12,1,1,15
2017-11-29-13,1,1,12
2017-11-29-14,1,1,10
2017-11-29-15,1,1,7
2017-11-29-16,1,1,5
2017-11-29-17,1,1,9
2017-11-29-18,1,1,19
2017-11-29-19,1,1,37
2017-11-29-20,1,1,36
2017-11-29-21,1,1,24
2017-11-29-22,1,1,18
2017-11-29-23,1,1,15
2017-11-30-00,1,1,18
2017-11-30-01,1,1,17
2017-11-30-02,1,1,20
2017-11-30-03,1,1,18
2017-11-30-04,1,1,15
2017-11-30-05,1,1,19
2017-11-30-06,1,1,15
2017-11-30-07,1,1,17
2017-11-30-08,1,1,21
2017-11-30-09,1,1,24
2017-11-30-10,1,1,27
2017-11-30-11,1,1,28
2017-11-30-12,1,1,23
2017-11-30-13,1,1,13
2017-11-30-14,1,1,5
2017-11-30-15,1,1,6
2017-11-30-16,1,1,4
2017-11-30-17,1,1,10
2017-11-30-18,1,1,17
2017-11-30-19,1,1,38
2017-11-30-20,1,1,49
2017-11-30-21,1,1,24
2017-11-30-22,1,1,20
2017-11-30-23,1,1,17
2017-12-01-00,1,1,18
2017-12-01-01,1,1,16
2017-12-01-02,1,1,21
2017-12-01-03,1,1,14
2017-12-01-04,1,1,15
2017-12-01-05,1,1,20
2017-12-01-06,1,1,18
2017-12-01-07,1,1,15
2017-12-01-08,1,1,17
2017-12-01-09,1,1,24
2017-12-01-10,1,1,30
2017-12-01-11,1,1,28
2017-12-01-12,1,1,28
2017-12-01-13,1,1,11
2017-12-01-14,1,1,6
2017-12-01-15,1,1,3
2017-12-01-16,1,1,5
2017-12-01-17,1,1,8
2017-12-01-18,1,1,14
2017-12-01-19,1,1,20
2017-12-01-20,1,1,31
2017-12-01-21,1,1,15
2017-12-01-22,1,1,14
2017-12-01-23,1,1,14
2017-12-02-00,1,1,12
2017-12-02-01,1,1,14
2017-12-02-02,1,1,13
2017-12-02-03,1,1,10
2017-12-02-04,1,1,9
2017-12-02-05,1,1,14
2017-12-02-06,1,1,11
2017-12-02-07,1,1,16
2017-12-02-08,1,1,17
2017-12-02-09,1,1,15
2017-12-02-10,1,1,15
2017-12-02-11,1,1,17
2017-12-02-12,1,1,9
2017-12-02-13,1,1,11
